Team Name,Well-being,Strong,Drained,Frustrated
Dnipro_Region_First Aid_Volunteers,4.1,6.3,3.0,2.3
Dnipro_Regional_ERT_Volunteers,4.1,5.4,2.9,1.6
Dnipro_Regional_Emergency Response Team_Volunteers,4.3,5.0,2.0,1.0
Dnipro_Regional_Staff,4.0,5.6,3.3,2.1
Kryvyi Rih_District_ERT_Volunteers,3.4,5.0,4.3,2.7
Nikopol_District_ERT_Volunteers,4.7,6.7,2.0,1.0
