Region,Country,Position,size (n),nTeams,Well-being_mean,Needs_mean,Engagement_mean,Autonomy_mean,Belonging_mean,Competence_mean,Leadership_mean,Management_mean,Returns_mean,Rewards_mean,Status_mean,Myself_mean,Tasks_mean,Free_mean,Mastery_mean,Competent_mean,Learn_mean,Group_mean,Talk_mean,Care_mean,Satisfied_mean,Meaning_mean,Stay_mean,Ideas_mean,Values_mean,Understands_mean,Encourages_mean,Listens_mean,Network_mean,Friendly_mean,Team_mean,Appreciated_mean,Responsibilities_mean,Work_mean,Impact_mean,Strong_mean,Drained_mean,Frustrated_mean,Well-being_median,Needs_median,Engagement_median,Autonomy_median,Belonging_median,Competence_median,Leadership_median,Management_median,Returns_median,Rewards_median,Status_median,Myself_median,Tasks_median,Free_median,Mastery_median,Competent_median,Learn_median,Group_median,Talk_median,Care_median,Satisfied_median,Meaning_median,Stay_median,Ideas_median,Values_median,Understands_median,Encourages_median,Listens_median,Network_median,Friendly_median,Team_median,Appreciated_median,Responsibilities_median,Work_median,Impact_median,Strong_median,Drained_median,Frustrated_median
Asia-Pacific,India,Volunteer,13,1,3.3,4.5,4.6,4.3,4.5,4.6,4.4,4.7,4.7,4.6,4.8,4.3,4.4,4.2,4.7,4.5,4.8,4.5,4.6,4.4,4.7,4.5,4.8,4.7,4.5,4.5,4.3,4.5,4.6,4.6,4.3,4.8,4.6,4.5,4.8,4.8,3.8,2.9,3.0,4.8,5.0,4.7,5.0,5.0,4.7,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
Asia-Pacific,Indonesia,Volunteer,1971,2,3.6,4.0,4.2,4.1,4.2,3.9,3.9,4.2,4.3,4.1,4.3,4.1,4.1,4.0,3.9,3.9,4.4,4.3,4.2,4.1,4.2,4.3,4.1,4.3,4.0,3.9,3.9,4.0,4.2,4.2,3.9,4.2,4.0,4.1,4.4,4.3,3.0,2.3,3.7,4.1,4.2,4.0,4.3,4.0,4.0,4.3,4.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0
Asia-Pacific,Japan,Volunteer,7,1,3.5,2.3,2.4,2.4,2.4,2.1,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.1,2.1,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.1,1.9,3.7,1.1,1.0,1.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Asia-Pacific,Kiribati,Volunteer,11,1,3.1,4.1,4.3,4.2,4.2,4.0,4.5,4.2,4.3,4.1,4.2,4.3,4.2,4.2,3.9,4.2,4.8,4.5,3.8,4.1,4.6,4.4,4.1,4.1,4.5,4.4,4.7,4.5,3.8,4.8,4.5,4.1,4.2,4.0,4.3,4.5,3.8,3.5,2.7,4.1,4.4,4.3,4.0,4.0,5.0,4.2,4.0,4.5,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0
Asia-Pacific,Malaysia,Volunteer,69,1,3.7,3.9,4.1,3.8,3.9,4.0,3.7,3.9,4.3,3.3,4.1,3.9,4.0,3.5,3.9,4.0,4.4,4.1,3.9,3.8,4.0,4.0,4.3,4.0,3.9,3.7,3.7,3.6,4.1,3.9,3.6,4.0,3.2,3.4,4.2,4.0,2.7,2.3,4.0,4.0,4.4,3.7,4.0,4.0,4.0,4.0,4.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0
Asia-Pacific,Maldives,Volunteer,16,1,4.4,4.4,4.4,4.4,4.4,4.5,3.8,4.5,4.7,4.3,4.5,4.7,4.5,4.2,4.4,4.5,4.8,4.4,4.4,4.2,4.3,4.2,4.8,4.2,4.2,3.9,3.8,3.8,4.6,4.6,3.7,4.4,4.2,4.3,4.6,4.4,1.8,1.6,4.7,4.4,4.5,4.5,4.5,4.5,4.0,4.5,5.0,4.0,4.8,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,4.0,4.5,4.5,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.5,4.0,4.0,5.0,4.0,1.0,1.0
Asia-Pacific,Micronesia,Volunteer,2,1,2.8,3.0,3.2,3.4,2.7,2.8,3.4,3.6,3.8,3.8,3.2,3.5,3.5,3.0,3.0,2.5,4.0,3.0,2.5,2.5,3.0,3.5,2.5,4.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.5,4.0,3.5,3.0,3.0,4.0,2.5,2.8,3.0,3.2,3.4,2.7,2.8,3.4,3.6,3.8,3.8,3.2,3.5,3.5,3.0,3.0,2.5,4.0,3.0,2.5,2.5,3.0,3.5,2.5,4.0,3.0,3.5,3.5,3.0,3.5,3.0,4.0,3.5,4.0,3.5,3.0,3.0,4.0,2.5
Asia-Pacific,Mongolia,Volunteer,480,2,4.0,4.3,4.3,4.3,4.2,4.3,4.3,4.2,4.4,3.7,4.4,4.3,4.2,4.3,4.3,4.2,4.4,4.4,4.1,4.2,4.4,4.3,4.3,4.2,4.2,4.3,4.4,4.4,4.4,4.4,4.1,4.3,3.7,3.6,4.5,5.3,2.7,2.2,4.1,4.5,4.4,4.3,4.3,4.5,4.7,4.3,4.5,4.0,4.5,4.5,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,4.0,4.0,5.0,5.0,3.0,2.0
Asia-Pacific,Myanmar,Volunteer,3,1,4.0,4.8,5.0,4.8,4.8,4.7,4.8,4.8,5.0,5.0,4.3,4.7,5.0,4.7,5.0,4.3,5.0,5.0,5.0,4.3,5.0,5.0,5.0,5.0,5.0,5.0,4.3,5.0,5.0,5.0,5.0,3.7,5.0,5.0,5.0,4.7,2.3,2.3,3.7,4.9,5.0,5.0,4.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0
Asia-Pacific,Nepal,Volunteer,530,1,4.1,4.5,4.5,4.5,4.5,4.4,4.3,4.4,4.5,4.0,4.6,4.5,4.4,4.6,4.3,4.4,4.5,4.6,4.5,4.4,4.6,4.4,4.6,4.5,4.3,4.3,4.3,4.3,4.6,4.5,4.3,4.6,4.0,4.1,4.6,4.6,2.6,1.8,4.0,4.6,4.6,4.7,4.7,4.5,4.7,4.5,4.5,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,1.0
Asia-Pacific,Pakistan,Volunteer,217,1,3.9,4.4,4.4,4.3,4.4,4.4,4.4,4.4,4.6,4.2,4.5,4.3,4.3,4.4,4.3,4.4,4.6,4.6,4.3,4.3,4.5,4.3,4.5,4.5,4.2,4.4,4.4,4.4,4.5,4.5,4.0,4.3,4.1,4.2,4.6,4.6,2.9,2.1,4.0,4.5,4.6,4.7,4.7,4.5,4.7,4.7,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0
Asia-Pacific,Papua New Guinea,Volunteer,12,1,3.7,4.3,4.1,4.4,4.3,4.2,3.9,4.2,4.5,3.7,4.4,4.3,4.4,4.6,4.0,4.3,4.3,4.6,4.2,4.1,4.0,3.9,4.0,4.5,4.3,4.1,3.9,3.8,4.7,4.4,4.1,4.4,3.7,3.7,4.4,4.2,2.9,2.2,3.7,4.4,4.3,4.3,4.5,4.2,3.8,4.2,5.0,3.2,4.8,4.5,4.5,5.0,4.0,4.5,5.0,5.0,4.0,4.0,4.0,4.0,4.5,5.0,4.5,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.5,5.0,4.0,3.0,2.0
Asia-Pacific,Philippines,Volunteer,263,1,3.8,4.4,4.5,4.4,4.4,4.2,4.4,4.4,4.6,4.2,4.4,4.4,4.4,4.3,4.2,4.2,4.6,4.6,4.3,4.4,4.5,4.5,4.4,4.5,4.3,4.4,4.4,4.4,4.5,4.5,4.3,4.3,4.3,4.2,4.5,4.4,2.7,2.3,3.7,4.5,4.8,4.7,5.0,4.5,5.0,4.7,5.0,4.5,4.5,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0
Asia-Pacific,Republic of Korea,Volunteer,3,1,2.9,3.6,3.4,3.8,3.3,3.7,3.3,3.4,3.5,3.5,3.3,4.0,3.7,3.7,3.7,3.7,3.7,3.7,3.7,2.7,3.3,3.3,3.3,3.7,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.7,3.3,3.3,3.3,3.3,3.3,3.0,3.8,3.0,3.7,3.3,4.0,3.0,3.3,3.5,3.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Asia-Pacific,Samoa,Volunteer,41,2,3.3,4.3,4.3,4.3,4.3,4.3,4.2,4.3,4.5,3.9,4.5,4.2,4.3,4.3,4.3,4.3,4.6,4.5,4.1,4.2,4.4,4.1,3.9,4.6,4.3,4.2,4.2,4.2,4.3,4.3,3.9,4.5,3.9,4.0,4.6,4.8,4.0,3.2,3.0,4.5,4.4,4.7,4.7,4.5,4.3,4.5,4.5,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0
Asia-Pacific,Singapore,Volunteer,138,1,3.8,4.1,4.2,4.2,4.0,4.2,3.9,4.1,4.2,3.8,4.3,4.2,4.3,4.1,4.2,4.2,4.3,4.2,3.9,3.9,4.3,4.1,4.5,4.1,4.1,3.9,3.9,3.9,4.1,4.3,3.6,4.1,3.8,3.8,4.4,4.2,2.5,2.2,4.0,4.1,4.4,4.3,4.0,4.2,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0
Asia-Pacific,Solomon Islands,Volunteer,8,1,3.5,4.0,4.0,4.0,3.9,4.1,3.3,4.0,4.3,3.6,4.0,4.0,3.9,4.2,4.1,4.0,4.4,4.0,3.8,4.0,3.8,4.2,3.8,4.1,4.0,3.1,3.6,3.1,4.2,4.4,3.8,4.0,3.6,3.5,4.0,3.4,2.4,2.5,3.7,4.2,3.9,4.4,4.0,4.2,3.5,4.1,4.5,4.0,4.5,4.0,4.0,5.0,4.5,4.0,5.0,4.5,4.0,4.0,4.0,4.0,3.5,4.0,4.0,3.0,4.0,3.5,4.0,5.0,4.0,4.5,4.0,3.5,4.5,4.0,2.0,2.5
Asia-Pacific,Sri Lanka,Volunteer,87,1,3.1,3.4,3.4,3.3,3.6,3.2,3.5,3.3,3.4,3.2,3.5,3.3,3.3,3.4,3.3,3.1,3.4,3.5,3.5,4.0,3.5,3.5,3.3,3.3,3.2,3.5,3.5,3.5,3.4,3.4,3.3,3.2,3.2,3.3,3.7,3.3,3.0,2.9,3.3,4.0,4.2,4.0,4.3,4.0,4.0,4.0,4.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0
Asia-Pacific,Thailand,Volunteer,181,1,4.0,4.4,4.4,4.4,4.3,4.5,4.2,4.3,4.4,4.1,4.4,4.4,4.5,4.2,4.4,4.5,4.5,4.5,4.3,4.2,4.5,4.3,4.6,4.3,4.3,4.2,4.2,4.1,4.3,4.4,4.1,4.3,4.1,4.2,4.5,4.4,2.4,2.1,4.0,4.5,4.6,4.3,4.3,4.5,4.0,4.5,4.5,4.0,4.5,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0
Asia-Pacific,Timor Leste,Volunteer,72,1,3.4,4.3,4.4,4.4,4.3,4.3,4.3,4.4,4.4,4.2,4.4,4.5,4.3,4.4,4.3,4.3,4.5,4.5,4.5,3.9,4.4,4.3,4.3,4.6,4.2,4.3,4.4,4.2,4.4,4.4,4.1,4.4,4.2,4.2,4.4,4.6,3.7,2.7,3.3,4.6,4.7,4.8,4.7,4.5,4.7,4.8,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0
Asia-Pacific,Tonga,Volunteer,9,2,3.8,4.0,4.1,3.9,3.8,4.3,3.8,4.2,4.3,4.2,4.3,3.8,4.1,3.9,4.4,4.1,4.3,4.2,3.8,3.6,4.0,4.0,4.0,4.0,4.3,4.1,4.1,3.1,4.2,3.7,3.7,4.0,4.0,4.3,4.6,4.8,2.8,2.7,3.7,3.9,4.6,4.3,4.7,5.0,4.0,4.8,5.0,5.0,4.5,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0
Asia-Pacific,Tuvalu,Volunteer,3,1,2.8,3.5,3.7,3.2,3.9,3.5,3.9,3.6,3.5,3.7,3.5,3.0,3.7,3.0,3.3,3.7,3.7,3.7,3.7,4.3,3.7,4.0,3.7,3.7,3.3,4.0,4.0,3.7,3.3,4.0,3.7,3.7,3.3,4.0,3.3,4.0,3.7,4.0,3.0,3.6,3.0,3.0,3.7,3.5,3.7,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
Asia-Pacific,Vanuatu,Volunteer,137,2,3.4,3.9,4.0,3.9,4.1,3.8,4.1,4.1,4.3,3.9,4.2,3.8,3.9,4.0,3.8,3.8,4.3,4.2,4.0,4.0,4.1,4.0,3.9,4.2,3.9,4.1,4.1,4.1,4.2,4.3,3.9,4.2,3.9,3.9,4.2,4.4,3.5,2.9,3.2,4.1,4.2,4.0,4.3,4.0,4.3,4.3,4.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0
Asia-Pacific,Vietnam,Volunteer,197,1,3.6,4.4,4.4,4.4,4.4,4.3,4.3,4.4,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.4,4.5,4.4,4.4,4.3,4.5,4.4,4.5,4.3,4.4,4.3,4.3,4.4,4.4,4.5,4.4,4.3,4.4,4.4,4.4,4.5,2.9,2.7,4.0,4.5,4.4,4.7,4.3,4.5,4.0,4.5,4.5,4.5,4.5,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0
DK,DK,Staff,79,16,3.5,4.0,4.1,4.0,3.9,4.1,3.7,3.8,3.9,3.5,4.1,4.0,3.9,4.1,4.1,4.2,4.2,4.0,3.8,4.0,4.0,4.4,4.1,4.3,3.8,3.7,3.7,3.7,3.6,4.3,3.2,4.0,3.5,3.5,4.2,5.2,3.8,3.4,3.5,4.1,4.4,4.3,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
DK,DK,Volunteer,72,17,3.6,4.0,4.1,4.0,4.1,4.1,3.7,4.0,4.1,3.7,4.2,3.9,4.1,4.0,3.9,4.2,4.1,4.2,4.1,3.9,4.2,4.2,4.2,4.2,3.8,3.7,3.8,3.7,4.1,4.3,3.7,4.1,3.7,3.7,4.3,5.7,3.8,3.2,3.6,4.1,4.2,4.3,4.3,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0
Europe,Austria,Volunteer,56,1,4.2,4.0,4.2,3.9,4.0,4.2,3.3,3.8,4.1,2.8,4.5,3.9,4.0,3.8,4.3,4.2,4.1,4.3,4.0,3.7,4.2,4.1,4.6,3.9,4.0,3.4,3.2,3.2,4.1,4.4,3.1,4.4,2.7,2.8,4.5,5.8,2.4,2.1,4.3,4.2,4.4,4.0,4.3,4.5,3.3,3.7,4.0,3.0,4.5,4.0,4.0,4.0,4.5,4.5,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,6.0,2.0,2.0
Europe,Cyprus,Staff,25,3,3.3,3.9,4.0,3.8,3.8,4.2,3.6,3.7,3.9,3.0,4.2,3.8,3.6,3.8,4.3,4.2,4.2,3.9,3.7,3.9,4.0,4.4,3.9,4.2,3.8,3.7,3.5,3.6,3.7,4.4,3.9,4.2,3.0,3.0,4.2,5.4,3.9,4.0,3.2,4.0,4.0,4.0,4.0,4.5,4.0,3.7,4.0,3.5,4.5,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,4.0
Europe,Cyprus,Volunteer,55,3,4.0,4.3,4.5,4.3,4.2,4.5,4.1,4.1,4.3,3.7,4.4,4.3,4.1,4.4,4.5,4.4,4.4,4.5,3.9,4.1,4.4,4.6,4.5,4.6,4.2,4.1,4.0,4.2,4.1,4.5,3.6,4.1,3.7,3.8,4.7,6.1,3.0,2.5,3.9,4.4,4.6,4.3,4.3,5.0,4.3,4.2,4.5,4.0,4.5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,7.0,3.0,2.0
Europe,Finland,Staff,111,14,3.4,4.2,4.2,4.3,4.1,4.0,4.1,3.9,4.2,3.5,4.0,4.5,4.0,4.4,3.9,4.2,4.4,4.3,4.1,4.0,4.0,4.0,4.4,4.4,4.0,4.2,4.1,4.2,4.0,4.6,2.6,3.9,3.6,3.4,4.1,5.0,3.7,3.6,3.5,4.2,4.2,4.3,4.3,4.0,4.3,4.0,4.5,3.5,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
Europe,Finland,Volunteer,87,10,3.7,4.2,4.1,4.3,4.1,4.0,4.1,4.1,4.4,3.7,4.1,4.4,4.2,4.3,4.0,4.1,4.5,4.4,4.0,4.0,4.2,3.9,4.3,4.1,4.1,4.1,4.1,4.1,4.4,4.5,2.7,4.0,3.7,3.7,4.3,5.1,3.3,2.7,3.7,4.4,4.4,4.7,4.3,4.0,4.3,4.0,4.5,3.5,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0
