Team Name,Country,Region,Position,size (n),Well-being_mean,Needs_mean,Engagement_mean,Autonomy_mean,Belonging_mean,Competence_mean,Leadership_mean,Management_mean,Returns_mean,Rewards_mean,Status_mean,Myself_mean,Tasks_mean,Free_mean,Mastery_mean,Competent_mean,Learn_mean,Group_mean,Talk_mean,Care_mean,Satisfied_mean,Meaning_mean,Stay_mean,Ideas_mean,Values_mean,Understands_mean,Encourages_mean,Listens_mean,Network_mean,Friendly_mean,Team_mean,Appreciated_mean,Responsibilities_mean,Work_mean,Impact_mean,Strong_mean,Drained_mean,Frustrated_mean,Well-being_median,Needs_median,Engagement_median,Autonomy_median,Belonging_median,Competence_median,Leadership_median,Management_median,Returns_median,Rewards_median,Status_median,Myself_median,Tasks_median,Free_median,Mastery_median,Competent_median,Learn_median,Group_median,Talk_median,Care_median,Satisfied_median,Meaning_median,Stay_median,Ideas_median,Values_median,Understands_median,Encourages_median,Listens_median,Network_median,Friendly_median,Team_median,Appreciated_median,Responsibilities_median,Work_median,Impact_median,Strong_median,Drained_median,Frustrated_median,Volunteer,Staff
 ATIZAPAN DE ZARAGOZA,Mexico,Americas,Volunteer,16,3.8,4.0,4.1,3.9,3.8,4.3,3.7,4.1,4.2,4.0,4.2,3.9,4.2,3.8,4.1,4.6,4.4,3.8,4.1,3.6,4.1,4.2,4.3,4.2,3.8,3.9,3.6,3.5,4.1,3.5,3.7,4.2,4.1,4.0,4.1,5.9,3.6,2.6,3.9,4.0,3.9,3.8,3.7,4.5,3.4,4.2,4.0,4.0,4.5,4.0,4.0,4.0,4.0,5.0,4.5,4.0,4.0,3.0,4.0,4.5,5.0,4.0,4.0,4.0,3.5,3.0,4.5,3.0,3.5,4.5,4.0,4.0,4.5,6.5,3.0,2.0,1,0
23.101 EMS,Lebanon,MENA,Volunteer,15,3.4,4.1,3.8,4.1,3.9,4.4,3.9,4.1,4.4,3.6,4.3,4.2,4.3,3.8,4.3,4.6,4.8,4.2,3.9,3.6,4.0,3.6,3.6,4.5,3.5,3.7,3.9,3.9,4.1,4.1,3.5,4.1,3.7,3.5,4.5,5.6,4.3,3.5,3.7,4.2,4.0,4.3,4.0,4.5,4.0,4.2,4.5,4.0,4.5,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,1,0
23.104 EMS,Lebanon,MENA,Volunteer,54,3.5,3.8,3.7,3.8,3.6,4.2,3.8,3.9,4.2,3.3,4.2,3.8,3.9,3.8,4.3,4.2,4.5,4.0,3.4,3.4,4.0,3.8,3.7,4.1,3.2,3.8,3.9,3.8,3.8,3.9,3.7,4.1,3.3,3.4,4.4,5.3,3.9,3.0,3.3,3.9,3.8,4.0,3.7,4.2,4.0,3.8,4.5,3.0,4.5,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,1,0
23.206 Monday,Lebanon,MENA,Volunteer,9,3.5,4.0,4.1,3.8,4.1,4.2,4.2,4.2,4.4,3.6,4.4,3.8,4.2,3.4,4.1,4.2,4.9,4.6,4.0,3.8,4.1,3.9,4.6,3.9,3.9,3.9,4.6,4.0,4.0,4.4,3.6,4.3,3.6,3.7,4.6,5.6,4.0,3.4,3.2,4.0,4.2,4.0,4.3,4.0,4.7,4.2,4.5,3.5,4.5,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,1,0
23.206 Thursday,Lebanon,MENA,Volunteer,9,3.3,3.7,3.9,3.5,3.5,4.3,4.0,4.0,4.3,3.2,4.4,3.8,3.4,3.3,4.3,4.3,4.6,4.1,3.2,3.2,4.0,4.0,3.9,4.0,3.4,3.8,4.4,3.9,4.1,4.0,3.4,4.3,3.1,3.3,4.6,5.3,4.2,3.8,3.4,4.0,4.0,4.0,3.7,4.0,4.7,4.2,4.5,3.0,4.5,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,6.0,4.0,4.0,1,0
23.206 Tuesday,Lebanon,MENA,Volunteer,9,3.7,4.1,4.0,4.2,4.2,4.0,4.4,4.4,4.7,3.9,4.6,4.1,4.0,4.3,4.0,4.0,4.9,4.6,4.0,4.1,4.4,4.3,3.3,4.0,3.7,3.9,4.7,4.6,4.4,4.7,3.3,4.3,3.9,4.0,4.8,5.3,3.4,2.6,3.9,4.1,4.0,4.0,4.3,4.5,4.3,4.5,5.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,1,0
23.206 Wednesday,Lebanon,MENA,Volunteer,9,3.3,3.7,3.8,3.5,3.9,3.8,4.3,3.9,4.4,3.4,4.1,3.7,3.3,3.6,3.8,3.9,4.7,4.3,3.7,3.8,3.8,3.9,3.9,3.7,3.6,4.2,4.7,4.1,4.1,4.3,3.8,4.3,3.3,3.4,3.8,5.6,4.7,3.4,3.2,4.0,4.0,3.7,4.3,4.0,4.3,4.0,4.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,6.0,4.0,3.0,1,0
23.304 EMS,Lebanon,MENA,Volunteer,25,3.7,3.9,4.0,3.8,3.8,4.1,3.9,4.2,4.3,3.6,4.5,3.9,3.9,3.5,4.0,4.2,4.5,4.1,3.6,3.8,4.1,4.2,3.8,4.1,3.7,4.0,4.0,3.9,4.1,4.1,3.4,4.6,3.6,3.7,4.5,5.9,3.6,3.0,3.9,4.1,4.2,4.0,4.0,4.0,4.0,4.2,4.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,6.0,4.0,3.0,1,0
23.403 Friday,Lebanon,MENA,Volunteer,9,3.5,4.3,4.2,4.4,4.3,4.1,4.7,4.5,4.7,4.2,4.5,4.2,4.4,4.4,4.2,3.9,4.9,4.7,4.0,4.3,4.4,4.4,3.9,4.1,4.1,4.7,4.6,4.8,4.6,4.7,3.3,4.4,4.3,4.1,4.6,6.1,4.2,3.7,3.4,4.4,4.4,5.0,4.3,4.0,5.0,4.5,5.0,4.0,4.5,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,7.0,4.0,4.0,1,0
23.403 Monday,Lebanon,MENA,Volunteer,8,3.3,4.0,4.0,4.1,4.0,4.0,4.3,4.2,4.2,3.9,4.5,4.2,4.1,4.0,3.9,4.1,4.4,4.2,3.9,3.9,4.1,4.0,4.0,4.4,3.6,4.2,4.2,4.4,4.0,4.1,3.6,4.6,3.9,3.9,4.4,6.6,5.0,4.1,3.3,4.4,4.4,4.5,4.5,4.2,5.0,4.6,4.5,4.0,5.0,5.0,4.5,4.5,4.0,4.5,5.0,5.0,4.0,4.0,4.5,4.0,4.5,5.0,4.0,5.0,5.0,5.0,4.5,4.5,4.0,5.0,4.0,4.0,5.0,7.0,5.0,3.5,1,0
23.403 Sunday,Lebanon,MENA,Volunteer,8,3.6,3.8,3.8,3.7,3.6,4.0,3.8,3.9,4.0,3.6,4.1,3.4,4.1,3.6,4.1,3.9,4.5,4.1,3.0,3.8,3.6,4.0,3.9,3.9,3.4,3.8,3.8,4.0,3.5,3.9,3.2,4.1,3.5,3.6,4.0,5.5,4.0,2.9,3.7,3.8,3.9,3.8,3.6,4.2,4.0,4.0,4.2,4.0,4.2,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.5,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.5,4.0,3.0,1,0
23.403 Thursday,Lebanon,MENA,Volunteer,8,3.8,3.7,3.7,3.6,3.6,4.2,4.2,3.6,3.9,3.1,3.8,3.8,3.5,3.5,4.2,4.1,4.1,4.0,3.2,3.5,3.5,3.8,3.2,4.5,3.4,4.0,4.2,4.2,3.6,3.8,3.4,3.8,3.0,3.1,3.9,5.5,3.6,2.5,3.7,4.2,4.1,4.0,4.0,4.5,4.7,3.8,4.2,3.0,4.0,4.0,3.5,4.0,5.0,4.5,4.5,4.5,3.5,3.5,4.0,4.0,4.0,5.0,3.5,4.5,5.0,5.0,4.0,4.5,3.5,4.0,3.0,3.0,4.0,6.5,4.0,3.0,1,0
23.403 Tuesday,Lebanon,MENA,Volunteer,6,2.9,4.0,3.6,3.8,3.9,4.5,4.0,4.1,4.7,3.5,4.0,3.7,4.0,3.8,4.2,4.8,4.8,4.2,3.7,3.8,3.8,4.0,2.8,4.2,3.2,4.0,4.0,4.0,4.5,3.7,4.2,4.0,3.8,3.2,4.0,5.0,5.0,4.2,3.4,4.2,4.0,4.2,4.2,4.5,4.5,4.2,4.5,3.8,4.0,4.0,4.0,4.5,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.5,4.5,4.0,4.5,4.5,4.5,4.5,4.0,4.5,4.0,4.0,3.5,4.0,5.5,5.5,3.5,1,0
23.403 Wednesday,Lebanon,MENA,Volunteer,7,3.8,4.1,4.0,4.0,4.4,3.8,4.1,4.4,4.4,4.1,4.7,4.1,4.0,4.0,4.1,3.4,4.4,4.4,4.4,4.4,4.1,3.7,3.4,4.7,4.0,3.9,4.1,4.1,4.4,4.1,4.1,4.9,4.1,4.1,4.6,6.4,3.9,2.9,3.7,4.1,4.2,4.0,5.0,4.0,5.0,4.7,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,4.0,3.0,1,0
23.502 Friday,Lebanon,MENA,Volunteer,13,3.5,4.2,4.1,4.1,4.2,4.3,4.3,4.3,4.5,4.0,4.4,4.3,4.1,4.0,4.3,4.3,4.7,4.5,4.0,4.2,4.3,4.1,4.1,4.3,3.9,4.0,4.5,4.4,4.3,4.5,3.2,4.2,4.0,4.0,4.5,5.4,3.8,3.2,3.4,4.5,4.4,4.3,4.7,4.5,4.7,4.3,4.5,4.0,4.5,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,1,0
23.502 Monday,Lebanon,MENA,Volunteer,12,3.5,4.0,3.7,4.1,3.8,4.0,4.4,4.0,4.2,3.4,4.3,4.3,4.2,3.9,4.2,3.8,4.6,4.2,3.8,3.5,4.1,3.8,3.9,3.9,2.8,4.2,4.6,4.5,3.9,4.0,3.2,4.2,3.2,3.6,4.3,5.2,3.8,3.0,3.4,4.0,3.6,4.5,4.0,4.0,5.0,3.8,4.5,3.5,4.5,4.5,4.5,4.0,4.0,4.0,5.0,4.5,4.0,3.5,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.5,4.0,4.5,5.0,4.0,3.0,1,0
23.502 Saturday,Lebanon,MENA,Volunteer,16,3.9,4.2,4.4,4.2,4.0,4.4,4.7,4.4,4.8,3.7,4.5,4.1,4.0,4.3,4.4,4.4,5.0,4.4,3.6,4.1,4.5,4.4,4.7,4.4,3.8,4.4,4.7,4.9,4.6,4.4,3.4,4.3,3.7,3.8,4.7,5.8,3.1,2.7,3.9,4.2,4.4,4.0,4.2,4.8,5.0,4.5,5.0,4.0,4.8,4.5,4.0,4.0,4.5,5.0,5.0,5.0,4.0,4.0,5.0,4.5,5.0,4.5,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,6.0,3.5,3.0,1,0
23.502 Thursday,Lebanon,MENA,Volunteer,11,3.6,4.2,4.2,4.3,4.0,4.4,4.3,4.3,4.6,4.0,4.3,4.3,4.5,4.1,4.4,4.4,4.8,4.3,3.5,4.3,4.5,4.2,4.5,4.2,3.7,3.9,4.4,4.6,4.4,4.4,3.7,4.2,4.2,3.9,4.4,5.3,3.6,3.1,3.4,4.2,4.6,4.0,4.0,4.0,4.3,4.5,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1,0
23.502 Tuesday,Lebanon,MENA,Volunteer,11,3.5,4.2,4.3,4.5,4.2,4.1,4.5,4.2,4.4,4.0,4.3,4.5,4.4,4.5,4.2,4.0,4.8,4.2,4.2,4.1,4.5,4.2,4.4,4.5,3.8,4.5,4.4,4.5,4.0,4.5,3.5,4.7,4.1,3.9,3.9,5.5,3.9,3.5,3.4,4.4,4.2,4.3,4.3,4.0,5.0,4.2,4.5,4.0,4.5,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,6.0,4.0,3.0,1,0
23.502 Wednesday,Lebanon,MENA,Volunteer,13,3.6,4.1,4.2,4.1,4.0,4.4,4.4,4.2,4.4,3.7,4.5,4.2,4.2,4.1,4.5,4.4,4.8,4.1,3.9,3.9,4.5,4.2,4.3,4.1,3.8,4.2,4.5,4.4,4.1,4.4,3.6,4.7,3.6,3.8,4.2,5.8,4.3,2.7,3.7,4.1,4.2,4.0,4.0,4.5,4.7,4.3,4.5,4.5,4.5,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,2.0,1,0
23.508 EMS,Lebanon,MENA,Volunteer,54,3.8,4.0,4.0,3.8,4.0,4.3,3.8,4.0,4.4,3.3,4.2,3.9,3.8,3.7,4.2,4.3,4.8,4.1,4.0,3.9,4.2,4.3,3.7,4.2,3.9,3.7,3.9,3.8,4.1,3.7,3.6,4.3,3.5,3.1,4.1,5.6,3.6,2.2,3.9,4.1,4.2,4.0,4.3,4.5,4.0,4.0,4.5,3.5,4.2,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,1.5,1,0
