Team Name,Leadership,Listens,Understands,Encourages
Blagovishchenskа_District_Volunteers,4.5,4.6,4.4,4.6
Kirovohrad_ PSS_Volunteers,4.1,4.2,4.0,4.0
Kirovohrad_ Regional_Staff,4.0,3.9,4.2,3.8
Kirovohrad_ Regional__Home-BasedCare_Volunteers,4.3,4.2,4.5,4.2
Kropyvnytskyi_  District_Volunteers,4.2,4.2,4.2,4.2
Novomyrhorod_District_Volunteers,4.0,4.1,3.9,3.9
Oleksandriiska_District_Volunteers,4.3,4.3,4.7,4.0
Onufrievska_District_Volunteers,4.5,4.5,4.8,4.4
