Team Name,Management,Returns,Rewards,Status
Blagovishchenskа_District_Volunteers,4.1,4.5,3.6,4.3
Kirovohrad_ PSS_Volunteers,3.8,4.2,3.2,3.8
Kirovohrad_ Regional_Staff,4.3,4.4,4.1,4.3
Kirovohrad_ Regional__Home-BasedCare_Volunteers,4.3,4.3,4.1,4.4
Kropyvnytskyi_  District_Volunteers,4.0,4.3,3.8,4.0
Novomyrhorod_District_Volunteers,4.2,4.4,4.1,4.2
Oleksandriiska_District_Volunteers,4.4,4.7,4.2,4.4
Onufrievska_District_Volunteers,4.4,4.4,4.1,4.6
