Survey,Volunteer,Staff,Strong,Drained,Frustrated,Satisfied,Stay,Values,Meaning,Ideas,Staff,Volunteer,Well-being,Needs,Autonomy,Belonging,Competence,Leadership,Understands,Encourages,Listens,Management,Returns,Rewards,Status
baseline,217,0,1288,714,580,974,986,904,993,991,0,217,842.6999999999999,947.1,957.2,943.5,934.0,905.2,913,904,898,906.3,958.5,806.0,954.5
endline,48,0,297,152,116,214,226,197,226,223,0,48,193.4,211.0,209.6,210.4,213.5,190.6,188,193,190,202.3,213.5,178.5,215.0
