Region,Country,Position,size (n),nTeams,Well-being_mean,Needs_mean,Engagement_mean,Autonomy_mean,Belonging_mean,Competence_mean,Leadership_mean,Management_mean,Returns_mean,Rewards_mean,Status_mean,Myself_mean,Tasks_mean,Free_mean,Mastery_mean,Competent_mean,Learn_mean,Group_mean,Talk_mean,Care_mean,Satisfied_mean,Meaning_mean,Stay_mean,Ideas_mean,Values_mean,Understands_mean,Encourages_mean,Listens_mean,Network_mean,Friendly_mean,Team_mean,Appreciated_mean,Responsibilities_mean,Work_mean,Impact_mean,Strong_mean,Drained_mean,Frustrated_mean,Well-being_median,Needs_median,Engagement_median,Autonomy_median,Belonging_median,Competence_median,Leadership_median,Management_median,Returns_median,Rewards_median,Status_median,Myself_median,Tasks_median,Free_median,Mastery_median,Competent_median,Learn_median,Group_median,Talk_median,Care_median,Satisfied_median,Meaning_median,Stay_median,Ideas_median,Values_median,Understands_median,Encourages_median,Listens_median,Network_median,Friendly_median,Team_median,Appreciated_median,Responsibilities_median,Work_median,Impact_median,Strong_median,Drained_median,Frustrated_median,geometry,Coordinates
Africa,Ethiopia,Volunteer,22,1,3.8,4.5,4.7,4.6,4.4,4.4,4.2,4.3,4.4,4.1,4.3,4.6,4.5,4.6,4.3,4.5,4.6,4.6,4.3,4.3,4.8,4.6,4.5,4.7,4.6,4.2,4.2,4.3,4.2,4.8,4.4,4.4,4.2,4.0,4.2,6.1,3.4,3.3,3.7,4.6,4.7,4.7,4.5,4.8,4.3,4.3,4.5,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.0,5.0,4.0,5.0,4.0,4.0,4.0,7.0,3.0,2.5,"POLYGON ((37.90607 14.95943, 38.51295 14.50547, 39.0994 14.74064, 39.34061 14.53155, 40.02625 14.51959, 40.8966 14.11864, 41.1552 13.77333, 41.59856 13.45209, 42.00975 12.86582, 42.35156 12.54223, 42 12.1, 41.66176 11.6312, 41.73959 11.35511, 41.75557 11.05091, 42.31414 11.0342, 42.55493 11.10511, 42.776852 10.926879, 42.55876 10.57258, 42.92812 10.02194, 43.29699 9.540480000000001, 43.67875 9.183579999999999, 46.94834 7.99688, 47.78942 8.003, 44.9636 5.00162, 43.66087 4.95755, 42.76967 4.25259, 42.12861 4.23413, 41.855083 3.918912, 41.1718 3.91909, 40.76848 4.25702, 39.85494 3.83879, 39.559384 3.42206, 38.89251 3.50074, 38.67114 3.61607, 38.43697 3.58851, 38.120915 3.598605, 36.855093 4.447864, 36.159079 4.447864, 35.817448 4.776966, 35.817448 5.338232, 35.298007 5.506, 34.70702 6.59422, 34.25032 6.82607, 34.0751 7.22595, 33.56829 7.71334, 32.95418 7.78497, 33.2948 8.35458, 33.8255 8.379160000000001, 33.97498 8.684559999999999, 33.96162 9.58358, 34.25745 10.63009, 34.73115 10.91017, 34.83163 11.31896, 35.26049 12.08286, 35.86363 12.57828, 36.27022 13.56333, 36.42951 14.42211, 37.59377 14.2131, 37.90607 14.95943))","[(37.90607, 14.95943), (38.51295, 14.50547), (39.0994, 14.74064), (39.34061, 14.53155), (40.02625, 14.51959), (40.8966, 14.11864), (41.1552, 13.77333), (41.59856, 13.45209), (42.00975, 12.86582), (42.35156, 12.54223), (42.0, 12.1), (41.66176, 11.6312), (41.73959, 11.35511), (41.75557, 11.05091), (42.31414, 11.0342), (42.55493, 11.10511), (42.776852, 10.926879), (42.55876, 10.57258), (42.92812, 10.02194), (43.29699, 9.54048), (43.67875, 9.18358), (46.94834, 7.99688), (47.78942, 8.003), (44.9636, 5.00162), (43.66087, 4.95755), (42.76967, 4.25259), (42.12861, 4.23413), (41.855083, 3.918912), (41.1718, 3.91909), (40.76848, 4.25702), (39.85494, 3.83879), (39.559384, 3.42206), (38.89251, 3.50074), (38.67114, 3.61607), (38.43697, 3.58851), (38.120915, 3.598605), (36.855093, 4.447864), (36.159079, 4.447864), (35.817448, 4.776966), (35.817448, 5.338232), (35.298007, 5.506), (34.70702, 6.59422), (34.25032, 6.82607), (34.0751, 7.22595), (33.56829, 7.71334), (32.95418, 7.78497), (33.2948, 8.35458), (33.8255, 8.37916), (33.97498, 8.68456), (33.96162, 9.58358), (34.25745, 10.63009), (34.73115, 10.91017), (34.83163, 11.31896), (35.26049, 12.08286), (35.86363, 12.57828), (36.27022, 13.56333), (36.42951, 14.42211), (37.59377, 14.2131), (37.90607, 14.95943)]"
Africa,Gambia,Volunteer,8,1,3.9,4.2,4.3,4.3,4.4,3.8,3.6,4.2,4.6,3.2,4.7,4.4,4.1,4.2,3.4,4.2,4.5,4.4,4.1,4.8,3.9,4.8,4.2,4.5,4.1,3.5,3.5,3.9,4.8,4.4,4.2,4.6,3.5,2.9,4.8,5.9,2.9,2.9,3.8,4.2,4.3,4.4,4.3,3.5,4.0,4.2,5.0,3.5,4.8,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.5,5.0,4.0,4.0,4.0,4.0,5.0,4.5,4.5,5.0,3.5,3.0,5.0,6.0,3.0,2.5,"POLYGON ((-16.841525 13.151394, -16.713729 13.594959, -15.624596 13.623587, -15.39877 13.860369, -15.081735 13.876492, -14.687031 13.630357, -14.376714 13.62568, -14.046992 13.794068, -13.844963 13.505042, -14.277702 13.280585, -14.712197 13.298207, -15.141163 13.509512, -15.511813 13.27857, -15.691001 13.270353, -15.931296 13.130284, -16.841525 13.151394))","[(-16.841525, 13.151394), (-16.713729, 13.594959), (-15.624596, 13.623587), (-15.39877, 13.860369), (-15.081735, 13.876492), (-14.687031, 13.630357), (-14.376714, 13.62568), (-14.046992, 13.794068), (-13.844963, 13.505042), (-14.277702, 13.280585), (-14.712197, 13.298207), (-15.141163, 13.509512), (-15.511813, 13.27857), (-15.691001, 13.270353), (-15.931296, 13.130284), (-16.841525, 13.151394)]"
Africa,Zambia,Volunteer,15,1,4.0,4.5,4.1,4.5,4.5,4.5,4.3,4.3,4.7,3.6,4.6,4.1,4.5,4.8,4.5,4.6,5.0,4.7,4.4,4.5,4.1,3.9,3.5,4.9,3.9,4.3,4.5,4.1,4.3,4.4,4.4,4.4,3.5,3.8,4.9,5.9,2.8,2.5,3.9,4.6,4.2,4.7,4.7,5.0,4.7,4.3,5.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0,3.0,"POLYGON ((32.759375 -9.230599, 33.231388 -9.676722, 33.485688 -10.525559, 33.31531 -10.79655, 33.114289 -11.607198, 33.306422 -12.435778, 32.991764 -12.783871, 32.688165 -13.712858, 33.214025 -13.97186, 30.179481 -14.796099, 30.274256 -15.507787, 29.516834 -15.644678, 28.947463 -16.043051, 28.825869 -16.389749, 28.467906 -16.4684, 27.598243 -17.290831, 27.044427 -17.938026, 26.706773 -17.961229, 26.381935 -17.846042, 25.264226 -17.73654, 25.084443 -17.661816, 25.07695 -17.578823, 24.682349 -17.353411, 24.033862 -17.295843, 23.215048 -17.523116, 22.562478 -16.898451, 21.887843 -16.08031, 21.933886 -12.898437, 24.016137 -12.911046, 23.930922 -12.565848, 24.079905 -12.191297, 23.904154 -11.722282, 24.017894 -11.237298, 23.912215 -10.926826, 24.257155 -10.951993, 24.314516 -11.262826, 24.78317 -11.238694, 25.418118 -11.330936, 25.75231 -11.784965, 26.553088 -11.92444, 27.16442 -11.608748, 27.388799 -12.132747, 28.155109 -12.272481, 28.523562 -12.698604, 28.934286 -13.248958, 29.699614 -13.257227, 29.616001 -12.178895, 29.341548 -12.360744, 28.642417 -11.971569, 28.372253 -11.793647, 28.49607 -10.789884, 28.673682 -9.605924999999999, 28.449871 -9.164918, 28.734867 -8.526559000000001, 29.002912 -8.407031999999999, 30.346086 -8.238257000000001, 30.740015 -8.340007, 31.157751 -8.594579, 31.556348 -8.762048999999999, 32.191865 -8.930358999999999, 32.759375 -9.230599))","[(32.759375, -9.230599), (33.231388, -9.676722), (33.485688, -10.525559), (33.31531, -10.79655), (33.114289, -11.607198), (33.306422, -12.435778), (32.991764, -12.783871), (32.688165, -13.712858), (33.214025, -13.97186), (30.179481, -14.796099), (30.274256, -15.507787), (29.516834, -15.644678), (28.947463, -16.043051), (28.825869, -16.389749), (28.467906, -16.4684), (27.598243, -17.290831), (27.044427, -17.938026), (26.706773, -17.961229), (26.381935, -17.846042), (25.264226, -17.73654), (25.084443, -17.661816), (25.07695, -17.578823), (24.682349, -17.353411), (24.033862, -17.295843), (23.215048, -17.523116), (22.562478, -16.898451), (21.887843, -16.08031), (21.933886, -12.898437), (24.016137, -12.911046), (23.930922, -12.565848), (24.079905, -12.191297), (23.904154, -11.722282), (24.017894, -11.237298), (23.912215, -10.926826), (24.257155, -10.951993), (24.314516, -11.262826), (24.78317, -11.238694), (25.418118, -11.330936), (25.75231, -11.784965), (26.553088, -11.92444), (27.16442, -11.608748), (27.388799, -12.132747), (28.155109, -12.272481), (28.523562, -12.698604), (28.934286, -13.248958), (29.699614, -13.257227), (29.616001, -12.178895), (29.341548, -12.360744), (28.642417, -11.971569), (28.372253, -11.793647), (28.49607, -10.789884), (28.673682, -9.605925), (28.449871, -9.164918), (28.734867, -8.526559), (29.002912, -8.407032), (30.346086, -8.238257), (30.740015, -8.340007), (31.157751, -8.594579), (31.556348, -8.762049), (32.191865, -8.930359), (32.759375, -9.230599)]"
Americas,Antigua and Barbuda,Volunteer,6,1,3.7,4.4,4.4,4.7,4.2,4.2,4.0,4.0,4.8,3.2,4.2,4.7,4.7,4.7,4.3,4.2,5.0,4.7,4.0,3.8,4.5,4.2,5.0,4.8,3.7,3.7,4.2,4.2,4.5,4.5,3.3,3.8,3.3,3.2,4.5,6.0,3.7,3.2,3.8,4.4,4.5,4.7,4.0,4.0,3.8,4.0,4.8,3.2,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.0,5.0,5.0,4.0,3.5,4.0,4.0,4.5,4.5,3.0,4.0,3.5,3.0,4.5,6.0,3.5,2.5,,
Americas,Argentina,Staff,28,2,3.1,3.9,4.1,3.9,3.9,4.1,3.9,3.8,4.0,3.1,4.3,4.2,3.3,4.1,3.9,4.4,4.3,3.8,4.0,3.9,3.9,4.3,3.8,4.6,3.7,4.0,3.9,3.9,3.6,4.2,3.7,4.1,3.0,3.1,4.5,5.1,4.5,4.0,3.1,4.0,4.1,4.0,4.0,4.0,4.3,3.9,4.0,3.5,4.5,4.5,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,"MULTIPOLYGON (((-65.5 -55.2, -66.45 -55.25, -66.95992 -54.89681, -67.56244 -54.87001, -68.63334999999999 -54.8695, -68.63401 -52.63637, -68.25 -53.1, -67.75 -53.85, -66.45 -54.45, -65.05 -54.7, -65.5 -55.2)), ((-64.96489200000001 -22.075862, -64.377021 -22.798091, -63.986838 -21.993644, -62.846468 -22.034985, -62.685057 -22.249029, -60.846565 -23.880713, -60.028966 -24.032796, -58.807128 -24.771459, -57.777217 -25.16234, -57.63366 -25.603657, -58.618174 -27.123719, -57.60976 -27.395899, -56.486702 -27.548499, -55.695846 -27.387837, -54.788795 -26.621786, -54.625291 -25.739255, -54.13005 -25.547639, -53.628349 -26.124865, -53.648735 -26.923473, -54.490725 -27.474757, -55.162286 -27.881915, -56.2909 -28.852761, -57.625133 -30.216295, -57.874937 -31.016556, -58.14244 -32.044504, -58.132648 -33.040567, -58.349611 -33.263189, -58.427074 -33.909454, -58.495442 -34.43149, -57.22583 -35.288027, -57.362359 -35.97739, -56.737487 -36.413126, -56.788285 -36.901572, -57.749157 -38.183871, -59.231857 -38.72022, -61.237445 -38.928425, -62.335957 -38.827707, -62.125763 -39.424105, -62.330531 -40.172586, -62.145994 -40.676897, -62.745803 -41.028761, -63.770495 -41.166789, -64.73209 -40.802677, -65.11803500000001 -41.064315, -64.978561 -42.058001, -64.303408 -42.359016, -63.755948 -42.043687, -63.458059 -42.563138, -64.378804 -42.873558, -65.181804 -43.495381, -65.328823 -44.501366, -65.565269 -45.036786, -66.50996600000001 -45.039628, -67.29379400000001 -45.551896, -67.580546 -46.301773, -66.597066 -47.033925, -65.64102699999999 -47.236135, -65.985088 -48.133289, -67.166179 -48.697337, -67.81608799999999 -49.869669, -68.728745 -50.264218, -69.13853899999999 -50.73251, -68.815561 -51.771104, -68.149995 -52.349983, -68.571545 -52.299444, -69.498362 -52.142761, -71.914804 -52.009022, -72.329404 -51.425956, -72.309974 -50.67701, -72.975747 -50.74145, -73.328051 -50.378785, -73.415436 -49.318436, -72.648247 -48.878618, -72.33116099999999 -48.244238, -72.447355 -47.738533, -71.917258 -46.884838, -71.552009 -45.560733, -71.659316 -44.973689, -71.222779 -44.784243, -71.329801 -44.407522, -71.793623 -44.207172, -71.464056 -43.787611, -71.915424 -43.408565, -72.148898 -42.254888, -71.746804 -42.051386, -71.915734 -40.832339, -71.680761 -39.808164, -71.413517 -38.916022, -70.81466399999999 -38.552995, -71.11862499999999 -37.576827, -71.121881 -36.658124, -70.364769 -36.005089, -70.388049 -35.169688, -69.81730899999999 -34.193571, -69.81477700000001 -33.273886, -70.074399 -33.09121, -70.53506899999999 -31.36501, -69.91900800000001 -30.336339, -70.01355 -29.367923, -69.65613 -28.459141, -69.00123499999999 -27.521214, -68.295542 -26.89934, -68.59480000000001 -26.506909, -68.38600099999999 -26.185016, -68.417653 -24.518555, -67.32844299999999 -24.025303, -66.98523400000001 -22.986349, -67.106674 -22.735925, -66.27333900000001 -21.83231, -64.96489200000001 -22.075862)))","[[(-65.5, -55.2), (-66.45, -55.25), (-66.95992, -54.89681), (-67.56244, -54.87001), (-68.63335, -54.8695), (-68.63401, -52.63637), (-68.25, -53.1), (-67.75, -53.85), (-66.45, -54.45), (-65.05, -54.7), (-65.5, -55.2)], [(-64.964892, -22.075862), (-64.377021, -22.798091), (-63.986838, -21.993644), (-62.846468, -22.034985), (-62.685057, -22.249029), (-60.846565, -23.880713), (-60.028966, -24.032796), (-58.807128, -24.771459), (-57.777217, -25.16234), (-57.63366, -25.603657), (-58.618174, -27.123719), (-57.60976, -27.395899), (-56.486702, -27.548499), (-55.695846, -27.387837), (-54.788795, -26.621786), (-54.625291, -25.739255), (-54.13005, -25.547639), (-53.628349, -26.124865), (-53.648735, -26.923473), (-54.490725, -27.474757), (-55.162286, -27.881915), (-56.2909, -28.852761), (-57.625133, -30.216295), (-57.874937, -31.016556), (-58.14244, -32.044504), (-58.132648, -33.040567), (-58.349611, -33.263189), (-58.427074, -33.909454), (-58.495442, -34.43149), (-57.22583, -35.288027), (-57.362359, -35.97739), (-56.737487, -36.413126), (-56.788285, -36.901572), (-57.749157, -38.183871), (-59.231857, -38.72022), (-61.237445, -38.928425), (-62.335957, -38.827707), (-62.125763, -39.424105), (-62.330531, -40.172586), (-62.145994, -40.676897), (-62.745803, -41.028761), (-63.770495, -41.166789), (-64.73209, -40.802677), (-65.118035, -41.064315), (-64.978561, -42.058001), (-64.303408, -42.359016), (-63.755948, -42.043687), (-63.458059, -42.563138), (-64.378804, -42.873558), (-65.181804, -43.495381), (-65.328823, -44.501366), (-65.565269, -45.036786), (-66.509966, -45.039628), (-67.293794, -45.551896), (-67.580546, -46.301773), (-66.597066, -47.033925), (-65.641027, -47.236135), (-65.985088, -48.133289), (-67.166179, -48.697337), (-67.816088, -49.869669), (-68.728745, -50.264218), (-69.138539, -50.73251), (-68.815561, -51.771104), (-68.149995, -52.349983), (-68.571545, -52.299444), (-69.498362, -52.142761), (-71.914804, -52.009022), (-72.329404, -51.425956), (-72.309974, -50.67701), (-72.975747, -50.74145), (-73.328051, -50.378785), (-73.415436, -49.318436), (-72.648247, -48.878618), (-72.331161, -48.244238), (-72.447355, -47.738533), (-71.917258, -46.884838), (-71.552009, -45.560733), (-71.659316, -44.973689), (-71.222779, -44.784243), (-71.329801, -44.407522), (-71.793623, -44.207172), (-71.464056, -43.787611), (-71.915424, -43.408565), (-72.148898, -42.254888), (-71.746804, -42.051386), (-71.915734, -40.832339), (-71.680761, -39.808164), (-71.413517, -38.916022), (-70.814664, -38.552995), (-71.118625, -37.576827), (-71.121881, -36.658124), (-70.364769, -36.005089), (-70.388049, -35.169688), (-69.817309, -34.193571), (-69.814777, -33.273886), (-70.074399, -33.09121), (-70.535069, -31.36501), (-69.919008, -30.336339), (-70.01355, -29.367923), (-69.65613, -28.459141), (-69.001235, -27.521214), (-68.295542, -26.89934), (-68.5948, -26.506909), (-68.386001, -26.185016), (-68.417653, -24.518555), (-67.328443, -24.025303), (-66.985234, -22.986349), (-67.106674, -22.735925), (-66.273339, -21.83231), (-64.964892, -22.075862)]]"
Americas,Bahamas,Staff,2,1,3.9,4.4,4.2,4.6,4.2,4.0,4.6,4.2,3.8,4.0,4.8,4.5,4.5,5.0,4.0,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.5,4.0,4.5,5.0,4.5,3.5,4.5,2.5,5.0,4.0,4.0,4.5,6.5,3.5,3.0,3.9,4.4,4.2,4.6,4.2,4.0,4.6,4.2,3.8,4.0,4.8,4.5,4.5,5.0,4.0,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.5,4.0,4.5,5.0,4.5,3.5,4.5,2.5,5.0,4.0,4.0,4.5,6.5,3.5,3.0,,
Americas,Ecuador,Volunteer,327,1,4.1,3.9,4.1,3.9,3.8,4.1,3.5,3.8,3.9,3.4,4.2,4.0,4.0,3.8,4.1,4.2,4.2,4.0,3.9,3.6,4.2,4.2,4.1,4.0,4.0,3.4,3.5,3.4,3.6,3.9,4.0,4.0,3.4,3.4,4.3,5.7,2.7,2.3,4.1,4.1,4.2,4.0,4.0,4.0,3.7,3.8,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0,"POLYGON ((-80.302561 -3.404856, -79.770293 -2.657512, -79.986559 -2.220794, -80.36878400000001 -2.685159, -80.967765 -2.246943, -80.76480599999999 -1.965048, -80.93365900000001 -1.057455, -80.58337 -0.906663, -80.399325 -0.283703, -80.020898 0.36034, -80.09061 0.768429, -79.542762 0.982938, -78.855259 1.380924, -77.85506100000001 0.809925, -77.66861299999999 0.825893, -77.42498399999999 0.395687, -76.57638 0.256936, -76.292314 0.416047, -75.801466 0.084801, -75.373223 -0.152032, -75.233723 -0.911417, -75.544996 -1.56161, -76.63539400000001 -2.608678, -77.83790500000001 -3.003021, -78.450684 -3.873097, -78.639897 -4.547784, -79.20528899999999 -4.959129, -79.624979 -4.454198, -80.028908 -4.346091, -80.44224199999999 -4.425724, -80.469295 -4.059287, -80.184015 -3.821162, -80.302561 -3.404856))","[(-80.302561, -3.404856), (-79.770293, -2.657512), (-79.986559, -2.220794), (-80.368784, -2.685159), (-80.967765, -2.246943), (-80.764806, -1.965048), (-80.933659, -1.057455), (-80.58337, -0.906663), (-80.399325, -0.283703), (-80.020898, 0.36034), (-80.09061, 0.768429), (-79.542762, 0.982938), (-78.855259, 1.380924), (-77.855061, 0.809925), (-77.668613, 0.825893), (-77.424984, 0.395687), (-76.57638, 0.256936), (-76.292314, 0.416047), (-75.801466, 0.084801), (-75.373223, -0.152032), (-75.233723, -0.911417), (-75.544996, -1.56161), (-76.635394, -2.608678), (-77.837905, -3.003021), (-78.450684, -3.873097), (-78.639897, -4.547784), (-79.205289, -4.959129), (-79.624979, -4.454198), (-80.028908, -4.346091), (-80.442242, -4.425724), (-80.469295, -4.059287), (-80.184015, -3.821162), (-80.302561, -3.404856)]"
Americas,El Salvador,Staff,4,1,3.4,3.6,4.2,3.4,3.6,4.0,3.3,4.2,4.1,3.8,4.6,3.5,3.5,3.2,3.5,4.5,4.8,4.2,4.0,2.8,4.0,4.8,4.5,4.2,3.2,3.5,3.0,3.5,3.5,3.8,4.0,4.2,3.5,4.0,5.0,5.2,5.0,2.8,3.4,4.0,4.3,4.0,4.0,4.0,3.8,4.0,4.2,3.5,4.8,4.0,4.0,3.5,3.5,4.5,5.0,4.5,4.0,3.0,4.0,5.0,5.0,4.5,3.0,4.0,3.5,4.0,4.0,4.5,4.0,4.5,3.5,4.0,5.0,5.5,5.0,3.0,"POLYGON ((-87.793111 13.38448, -87.904112 13.149017, -88.48330199999999 13.163951, -88.843228 13.259734, -89.256743 13.458533, -89.812394 13.520622, -90.095555 13.735338, -90.064678 13.88197, -89.721934 14.134228, -89.53421899999999 14.244816, -89.587343 14.362586, -89.353326 14.424133, -89.05851199999999 14.340029, -88.843073 14.140507, -88.541231 13.980155, -88.503998 13.845486, -88.065343 13.964626, -87.859515 13.893312, -87.72350299999999 13.78505, -87.793111 13.38448))","[(-87.793111, 13.38448), (-87.904112, 13.149017), (-88.483302, 13.163951), (-88.843228, 13.259734), (-89.256743, 13.458533), (-89.812394, 13.520622), (-90.095555, 13.735338), (-90.064678, 13.88197), (-89.721934, 14.134228), (-89.534219, 14.244816), (-89.587343, 14.362586), (-89.353326, 14.424133), (-89.058512, 14.340029), (-88.843073, 14.140507), (-88.541231, 13.980155), (-88.503998, 13.845486), (-88.065343, 13.964626), (-87.859515, 13.893312), (-87.723503, 13.78505), (-87.793111, 13.38448)]"
Americas,El Salvador,Volunteer,110,2,4.1,4.1,4.4,4.1,4.1,4.2,3.7,4.0,4.1,3.5,4.5,4.1,4.3,3.8,4.0,4.4,4.5,4.4,4.2,3.7,4.4,4.5,4.5,4.5,4.0,3.8,3.7,3.7,3.8,4.0,3.8,4.4,3.5,3.5,4.6,6.1,2.9,2.2,4.1,4.4,4.6,4.3,4.3,4.5,4.0,4.2,4.5,3.5,4.5,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,3.0,2.0,"POLYGON ((-87.793111 13.38448, -87.904112 13.149017, -88.48330199999999 13.163951, -88.843228 13.259734, -89.256743 13.458533, -89.812394 13.520622, -90.095555 13.735338, -90.064678 13.88197, -89.721934 14.134228, -89.53421899999999 14.244816, -89.587343 14.362586, -89.353326 14.424133, -89.05851199999999 14.340029, -88.843073 14.140507, -88.541231 13.980155, -88.503998 13.845486, -88.065343 13.964626, -87.859515 13.893312, -87.72350299999999 13.78505, -87.793111 13.38448))","[(-87.793111, 13.38448), (-87.904112, 13.149017), (-88.483302, 13.163951), (-88.843228, 13.259734), (-89.256743, 13.458533), (-89.812394, 13.520622), (-90.095555, 13.735338), (-90.064678, 13.88197), (-89.721934, 14.134228), (-89.534219, 14.244816), (-89.587343, 14.362586), (-89.353326, 14.424133), (-89.058512, 14.340029), (-88.843073, 14.140507), (-88.541231, 13.980155), (-88.503998, 13.845486), (-88.065343, 13.964626), (-87.859515, 13.893312), (-87.723503, 13.78505), (-87.793111, 13.38448)]"
Americas,Honduras,Staff,18,1,3.9,4.3,4.2,4.1,4.0,4.8,3.7,3.8,4.0,2.8,4.5,4.2,4.1,4.1,4.8,4.8,4.4,4.3,4.4,3.4,4.2,4.4,4.3,4.4,3.6,3.6,3.7,3.8,3.7,4.3,4.3,4.3,2.7,2.8,4.7,6.0,3.3,2.8,3.9,4.5,4.5,4.7,4.3,5.0,3.8,3.6,4.0,2.5,4.5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.5,4.5,4.0,4.5,3.0,2.0,5.0,6.5,3.5,3.0,"POLYGON ((-87.316654 12.984686, -87.48940899999999 13.297535, -87.793111 13.38448, -87.72350299999999 13.78505, -87.859515 13.893312, -88.065343 13.964626, -88.503998 13.845486, -88.541231 13.980155, -88.843073 14.140507, -89.05851199999999 14.340029, -89.353326 14.424133, -89.145535 14.678019, -89.22521999999999 14.874286, -89.154811 15.066419, -88.68068 15.346247, -88.22502299999999 15.727722, -88.12115300000001 15.688655, -87.901813 15.864458, -87.61568 15.878799, -87.522921 15.797279, -87.367762 15.84694, -86.90319100000001 15.756713, -86.440946 15.782835, -86.11923400000001 15.893449, -86.001954 16.005406, -85.683317 15.953652, -85.44400400000001 15.885749, -85.182444 15.909158, -84.983722 15.995923, -84.52697999999999 15.857224, -84.368256 15.835158, -84.06305500000001 15.648244, -83.773977 15.424072, -83.410381 15.270903, -83.14721900000001 14.995829, -83.48998899999999 15.016267, -83.628585 14.880074, -83.97572099999999 14.749436, -84.228342 14.748764, -84.449336 14.621614, -84.649582 14.666805, -84.820037 14.819587, -84.92450100000001 14.790493, -85.052787 14.551541, -85.148751 14.560197, -85.16536499999999 14.35437, -85.514413 14.079012, -85.69866500000001 13.960078, -85.801295 13.836055, -86.09626400000001 14.038187, -86.31214199999999 13.771356, -86.520708 13.778487, -86.755087 13.754845, -86.733822 13.263093, -86.880557 13.254204, -87.005769 13.025794, -87.316654 12.984686))","[(-87.316654, 12.984686), (-87.489409, 13.297535), (-87.793111, 13.38448), (-87.723503, 13.78505), (-87.859515, 13.893312), (-88.065343, 13.964626), (-88.503998, 13.845486), (-88.541231, 13.980155), (-88.843073, 14.140507), (-89.058512, 14.340029), (-89.353326, 14.424133), (-89.145535, 14.678019), (-89.22522, 14.874286), (-89.154811, 15.066419), (-88.68068, 15.346247), (-88.225023, 15.727722), (-88.121153, 15.688655), (-87.901813, 15.864458), (-87.61568, 15.878799), (-87.522921, 15.797279), (-87.367762, 15.84694), (-86.903191, 15.756713), (-86.440946, 15.782835), (-86.119234, 15.893449), (-86.001954, 16.005406), (-85.683317, 15.953652), (-85.444004, 15.885749), (-85.182444, 15.909158), (-84.983722, 15.995923), (-84.52698, 15.857224), (-84.368256, 15.835158), (-84.063055, 15.648244), (-83.773977, 15.424072), (-83.410381, 15.270903), (-83.147219, 14.995829), (-83.489989, 15.016267), (-83.628585, 14.880074), (-83.975721, 14.749436), (-84.228342, 14.748764), (-84.449336, 14.621614), (-84.649582, 14.666805), (-84.820037, 14.819587), (-84.924501, 14.790493), (-85.052787, 14.551541), (-85.148751, 14.560197), (-85.165365, 14.35437), (-85.514413, 14.079012), (-85.698665, 13.960078), (-85.801295, 13.836055), (-86.096264, 14.038187), (-86.312142, 13.771356), (-86.520708, 13.778487), (-86.755087, 13.754845), (-86.733822, 13.263093), (-86.880557, 13.254204), (-87.005769, 13.025794), (-87.316654, 12.984686)]"
