Team Name,Management,Returns,Rewards,Status
Dnipro_Region_First Aid_Volunteers,4.6,4.7,4.2,4.8
Dnipro_Regional_ERT_Volunteers,4.1,4.3,3.8,4.2
Dnipro_Regional_Emergency Response Team_Volunteers,4.0,4.0,4.0,4.0
Dnipro_Regional_Staff,3.9,4.2,3.4,4.1
Kryvyi Rih_District_ERT_Volunteers,3.7,4.2,3.1,3.9
Nikopol_District_ERT_Volunteers,4.1,4.5,3.7,4.2
