Team Name,Leadership,Listens,Understands,Encourages
Ізюмська МРО,4.2,4.2,4.4,4.0
Індустріальна РО,4.4,4.4,4.6,4.3
Богодухівська РО,4.4,4.5,4.6,4.3
Зміївська,3.9,3.9,4.0,3.9
Київська РО,3.6,3.2,3.8,3.8
Красноградська РО,4.3,4.5,4.2,4.3
Куп'янська МРО,4.4,4.5,4.5,4.2
Лозівська,3.9,3.8,4.0,4.0
Холодногірська РО,4.5,4.4,4.7,4.3
Шевченківська РО,3.8,3.8,4.0,3.8
