Team Name,Well-being,Strong,Drained,Frustrated
Dniprovska_ City_Volunteers,4.1,5.8,2.8,2.2
Komunarska_ City_Volunteers,3.9,5.1,3.1,2.0
Kushugum_Region_Volunteers,4.6,6.2,2.0,1.1
Local_ City_Volunteers,4.0,5.2,2.8,2.2
Pologyvska _ Regional_Volunteers,3.3,5.1,4.5,3.2
Volnyansk_ Regional_Volunteers,3.9,5.2,3.4,1.9
Voznesenovsky_City_Volunteers,3.6,4.7,2.7,3.3
Zavodsky _ City_Volunteers,4.3,5.8,2.4,1.6
Запорізька района філія ЗОО ТЧХУ,3.8,4.8,3.2,2.0
